# t(s)    x(m)    y(m)
   0.000       0.000       0.000
   0.010       0.353       0.352
   0.020       0.707       0.704
   0.030       1.060       1.054
   0.040       1.412       1.403
   0.050       1.765       1.750
   0.060       2.118       2.097
   0.070       2.470       2.442
   0.080       2.822       2.787
   0.090       3.174       3.130
   0.100       3.526       3.472
   0.110       3.877       3.813
   0.120       4.229       4.152
   0.130       4.580       4.491
   0.140       4.931       4.828
   0.150       5.282       5.165
   0.160       5.633       5.500
   0.170       5.983       5.834
   0.180       6.334       6.167
   0.190       6.684       6.498
   0.200       7.034       6.829
   0.210       7.384       7.158
   0.220       7.734       7.486
   0.230       8.083       7.813
   0.240       8.432       8.139
   0.250       8.782       8.464
   0.260       9.131       8.788
   0.270       9.479       9.110
   0.280       9.828       9.432
   0.290      10.177       9.752
   0.300      10.525      10.071
   0.310      10.873      10.389
   0.320      11.221      10.706
   0.330      11.569      11.021
   0.340      11.916      11.336
   0.350      12.264      11.649
   0.360      12.611      11.961
   0.370      12.958      12.272
   0.380      13.305      12.582
   0.390      13.652      12.891
   0.400      13.998      13.199
   0.410      14.344      13.505
   0.420      14.691      13.811
   0.430      15.037      14.115
   0.440      15.383      14.418
   0.450      15.728      14.720
   0.460      16.074      15.021
   0.470      16.419      15.321
   0.480      16.764      15.620
   0.490      17.109      15.917
   0.500      17.454      16.213
   0.510      17.799      16.509
   0.520      18.143      16.803
   0.530      18.488      17.096
   0.540      18.832      17.388
   0.550      19.176      17.678
   0.560      19.519      17.968
   0.570      19.863      18.256
   0.580      20.206      18.544
   0.590      20.550      18.830
   0.600      20.893      19.115
   0.610      21.236      19.399
   0.620      21.579      19.682
   0.630      21.921      19.964
   0.640      22.264      20.244
   0.650      22.606      20.524
   0.660      22.948      20.802
   0.670      23.290      21.079
   0.680      23.632      21.356
   0.690      23.973      21.631
   0.700      24.314      21.904
   0.710      24.656      22.177
   0.720      24.997      22.449
   0.730      25.338      22.719
   0.740      25.678      22.989
   0.750      26.019      23.257
   0.760      26.359      23.524
   0.770      26.699      23.790
   0.780      27.039      24.055
   0.790      27.379      24.319
   0.800      27.719      24.582
   0.810      28.058      24.844
   0.820      28.398      25.104
   0.830      28.737      25.364
   0.840      29.076      25.622
   0.850      29.415      25.879
   0.860      29.754      26.135
   0.870      30.092      26.390
   0.880      30.430      26.644
   0.890      30.769      26.897
   0.900      31.107      27.148
   0.910      31.444      27.399
   0.920      31.782      27.648
   0.930      32.119      27.897
   0.940      32.457      28.144
   0.950      32.794      28.390
   0.960      33.131      28.635
   0.970      33.468      28.879
   0.980      33.804      29.122
   0.990      34.141      29.363
   1.000      34.477      29.604
   1.010      34.813      29.843
   1.020      35.149      30.082
   1.030      35.485      30.319
   1.040      35.821      30.555
   1.050      36.156      30.790
   1.060      36.491      31.024
   1.070      36.827      31.257
   1.080      37.162      31.489
   1.090      37.496      31.720
   1.100      37.831      31.949
   1.110      38.165      32.178
   1.120      38.500      32.405
   1.130      38.834      32.632
   1.140      39.168      32.857
   1.150      39.502      33.081
   1.160      39.835      33.304
   1.170      40.169      33.526
   1.180      40.502      33.747
   1.190      40.835      33.967
   1.200      41.168      34.185
   1.210      41.501      34.403
   1.220      41.834      34.619
   1.230      42.166      34.835
   1.240      42.498      35.049
   1.250      42.830      35.262
   1.260      43.162      35.474
   1.270      43.494      35.685
   1.280      43.826      35.895
   1.290      44.157      36.104
   1.300      44.489      36.312
   1.310      44.820      36.519
   1.320      45.151      36.724
   1.330      45.481      36.929
   1.340      45.812      37.132
   1.350      46.143      37.335
   1.360      46.473      37.536
   1.370      46.803      37.736
   1.380      47.133      37.935
   1.390      47.463      38.133
   1.400      47.792      38.330
   1.410      48.122      38.526
   1.420      48.451      38.721
   1.430      48.780      38.915
   1.440      49.109      39.108
   1.450      49.438      39.299
   1.460      49.767      39.490
   1.470      50.095      39.679
   1.480      50.424      39.867
   1.490      50.752      40.055
   1.500      51.080      40.241
   1.510      51.408      40.426
   1.520      51.735      40.610
   1.530      52.063      40.793
   1.540      52.390      40.975
   1.550      52.717      41.156
   1.560      53.044      41.336
   1.570      53.371      41.514
   1.580      53.698      41.692
   1.590      54.024      41.868
   1.600      54.351      42.044
   1.610      54.677      42.218
   1.620      55.003      42.392
   1.630      55.329      42.564
   1.640      55.655      42.735
   1.650      55.980      42.905
   1.660      56.306      43.074
   1.670      56.631      43.242
   1.680      56.956      43.409
   1.690      57.281      43.575
   1.700      57.606      43.740
   1.710      57.930      43.904
   1.720      58.254      44.066
   1.730      58.579      44.228
   1.740      58.903      44.389
   1.750      59.227      44.548
   1.760      59.551      44.707
   1.770      59.874      44.864
   1.780      60.198      45.020
   1.790      60.521      45.176
   1.800      60.844      45.330
   1.810      61.167      45.483
   1.820      61.490      45.635
   1.830      61.812      45.786
   1.840      62.135      45.936
   1.850      62.457      46.085
   1.860      62.779      46.233
   1.870      63.101      46.380
   1.880      63.423      46.525
   1.890      63.745      46.670
   1.900      64.066      46.814
   1.910      64.388      46.956
   1.920      64.709      47.098
   1.930      65.030      47.238
   1.940      65.351      47.378
   1.950      65.671      47.516
   1.960      65.992      47.654
   1.970      66.312      47.790
   1.980      66.632      47.925
   1.990      66.953      48.059
   2.000      67.272      48.192
   2.010      67.592      48.325
   2.020      67.912      48.456
   2.030      68.231      48.586
   2.040      68.550      48.715
   2.050      68.870      48.843
   2.060      69.188      48.969
   2.070      69.507      49.095
   2.080      69.826      49.220
   2.090      70.144      49.344
   2.100      70.463      49.466
   2.110      70.781      49.588
   2.120      71.099      49.709
   2.130      71.417      49.828
   2.140      71.734      49.947
   2.150      72.052      50.064
   2.160      72.369      50.181
   2.170      72.686      50.296
   2.180      73.003      50.411
   2.190      73.320      50.524
   2.200      73.637      50.636
   2.210      73.954      50.747
   2.220      74.270      50.858
   2.230      74.586      50.967
   2.240      74.902      51.075
   2.250      75.218      51.182
   2.260      75.534      51.288
   2.270      75.850      51.393
   2.280      76.165      51.497
   2.290      76.480      51.600
   2.300      76.795      51.702
   2.310      77.110      51.803
   2.320      77.425      51.903
   2.330      77.740      52.002
   2.340      78.054      52.100
   2.350      78.369      52.196
   2.360      78.683      52.292
   2.370      78.997      52.387
   2.380      79.311      52.481
   2.390      79.625      52.573
   2.400      79.938      52.665
   2.410      80.252      52.756
   2.420      80.565      52.845
   2.430      80.878      52.934
   2.440      81.191      53.021
   2.450      81.504      53.108
   2.460      81.816      53.193
   2.470      82.129      53.278
   2.480      82.441      53.361
   2.490      82.753      53.444
   2.500      83.065      53.525
   2.510      83.377      53.605
   2.520      83.689      53.685
   2.530      84.000      53.763
   2.540      84.312      53.840
   2.550      84.623      53.917
   2.560      84.934      53.992
   2.570      85.245      54.066
   2.580      85.556      54.140
   2.590      85.866      54.212
   2.600      86.177      54.283
   2.610      86.487      54.353
   2.620      86.797      54.422
   2.630      87.107      54.491
   2.640      87.417      54.558
   2.650      87.727      54.624
   2.660      88.036      54.689
   2.670      88.345      54.753
   2.680      88.655      54.816
   2.690      88.964      54.878
   2.700      89.273      54.939
   2.710      89.581      54.999
   2.720      89.890      55.058
   2.730      90.198      55.116
   2.740      90.507      55.173
   2.750      90.815      55.229
   2.760      91.123      55.284
   2.770      91.430      55.338
   2.780      91.738      55.391
   2.790      92.046      55.443
   2.800      92.353      55.494
   2.810      92.660      55.544
   2.820      92.967      55.593
   2.830      93.274      55.641
   2.840      93.581      55.688
   2.850      93.887      55.734
   2.860      94.194      55.779
   2.870      94.500      55.823
   2.880      94.806      55.866
   2.890      95.112      55.908
   2.900      95.418      55.949
   2.910      95.724      55.989
   2.920      96.029      56.028
   2.930      96.335      56.066
   2.940      96.640      56.103
   2.950      96.945      56.139
   2.960      97.250      56.173
   2.970      97.555      56.207
   2.980      97.859      56.240
   2.990      98.164      56.272
   3.000      98.468      56.303
   3.010      98.772      56.333
   3.020      99.076      56.362
   3.030      99.380      56.390
   3.040      99.684      56.417
   3.050      99.987      56.443
   3.060     100.290      56.468
   3.070     100.594      56.492
   3.080     100.897      56.515
   3.090     101.200      56.537
   3.100     101.502      56.558
   3.110     101.805      56.578
   3.120     102.108      56.597
   3.130     102.410      56.615
   3.140     102.712      56.632
   3.150     103.014      56.648
   3.160     103.316      56.663
   3.170     103.618      56.677
   3.180     103.919      56.690
   3.190     104.221      56.702
   3.200     104.522      56.713
   3.210     104.823      56.724
   3.220     105.124      56.733
   3.230     105.425      56.741
   3.240     105.726      56.748
   3.250     106.026      56.754
   3.260     106.326      56.759
   3.270     106.627      56.764
   3.280     106.927      56.767
   3.290     107.227      56.769
   3.300     107.526      56.770
   3.310     107.826      56.771
   3.320     108.125      56.770
   3.330     108.425      56.768
   3.340     108.724      56.766
   3.350     109.023      56.762
   3.360     109.322      56.757
   3.370     109.620      56.752
   3.380     109.919      56.745
   3.390     110.217      56.738
   3.400     110.516      56.729
   3.410     110.814      56.719
   3.420     111.112      56.709
   3.430     111.410      56.698
   3.440     111.707      56.685
   3.450     112.005      56.672
   3.460     112.302      56.657
   3.470     112.599      56.642
   3.480     112.897      56.626
   3.490     113.193      56.608
   3.500     113.490      56.590
   3.510     113.787      56.571
   3.520     114.083      56.551
   3.530     114.380      56.529
   3.540     114.676      56.507
   3.550     114.972      56.484
   3.560     115.268      56.460
   3.570     115.564      56.435
   3.580     115.859      56.409
   3.590     116.155      56.382
   3.600     116.450      56.354
   3.610     116.745      56.325
   3.620     117.040      56.295
   3.630     117.335      56.264
   3.640     117.630      56.232
   3.650     117.924      56.200
   3.660     118.219      56.166
   3.670     118.513      56.131
   3.680     118.807      56.095
   3.690     119.101      56.059
   3.700     119.395      56.021
   3.710     119.688      55.982
   3.720     119.982      55.943
   3.730     120.275      55.902
   3.740     120.569      55.861
   3.750     120.862      55.819
   3.760     121.155      55.775
   3.770     121.447      55.731
   3.780     121.740      55.685
   3.790     122.033      55.639
   3.800     122.325      55.592
   3.810     122.617      55.544
   3.820     122.909      55.495
   3.830     123.201      55.445
   3.840     123.493      55.394
   3.850     123.785      55.342
   3.860     124.076      55.289
   3.870     124.367      55.235
   3.880     124.659      55.180
   3.890     124.950      55.124
   3.900     125.241      55.067
   3.910     125.531      55.009
   3.920     125.822      54.951
   3.930     126.112      54.891
   3.940     126.403      54.831
   3.950     126.693      54.769
   3.960     126.983      54.707
   3.970     127.273      54.643
   3.980     127.563      54.579
   3.990     127.852      54.513
   4.000     128.142      54.447
   4.010     128.431      54.380
   4.020     128.720      54.312
   4.030     129.009      54.243
   4.040     129.298      54.173
   4.050     129.587      54.102
   4.060     129.875      54.030
   4.070     130.164      53.957
   4.080     130.452      53.883
   4.090     130.740      53.808
   4.100     131.028      53.732
   4.110     131.316      53.656
   4.120     131.604      53.578
   4.130     131.891      53.499
   4.140     132.179      53.420
   4.150     132.466      53.339
   4.160     132.753      53.258
   4.170     133.040      53.176
   4.180     133.327      53.092
   4.190     133.614      53.008
   4.200     133.900      52.923
   4.210     134.187      52.837
   4.220     134.473      52.750
   4.230     134.759      52.662
   4.240     135.045      52.573
   4.250     135.331      52.483
   4.260     135.617      52.393
   4.270     135.902      52.301
   4.280     136.188      52.208
   4.290     136.473      52.115
   4.300     136.758      52.020
   4.310     137.043      51.925
   4.320     137.328      51.828
   4.330     137.613      51.731
   4.340     137.897      51.633
   4.350     138.182      51.534
   4.360     138.466      51.433
   4.370     138.750      51.332
   4.380     139.034      51.230
   4.390     139.318      51.128
   4.400     139.602      51.024
   4.410     139.885      50.919
   4.420     140.169      50.813
   4.430     140.452      50.707
   4.440     140.735      50.599
   4.450     141.018      50.491
   4.460     141.301      50.381
   4.470     141.584      50.271
   4.480     141.866      50.160
   4.490     142.149      50.048
   4.500     142.431      49.934
   4.510     142.713      49.820
   4.520     142.995      49.705
   4.530     143.277      49.590
   4.540     143.559      49.473
   4.550     143.840      49.355
   4.560     144.122      49.236
   4.570     144.403      49.117
   4.580     144.684      48.996
   4.590     144.965      48.875
   4.600     145.246      48.753
   4.610     145.527      48.629
   4.620     145.808      48.505
   4.630     146.088      48.380
   4.640     146.368      48.254
   4.650     146.649      48.127
   4.660     146.929      47.999
   4.670     147.209      47.871
   4.680     147.488      47.741
   4.690     147.768      47.610
   4.700     148.048      47.479
   4.710     148.327      47.347
   4.720     148.606      47.213
   4.730     148.885      47.079
   4.740     149.164      46.944
   4.750     149.443      46.808
   4.760     149.722      46.671
   4.770     150.000      46.533
   4.780     150.278      46.394
   4.790     150.557      46.254
   4.800     150.835      46.114
   4.810     151.113      45.972
   4.820     151.391      45.830
   4.830     151.668      45.686
   4.840     151.946      45.542
   4.850     152.223      45.397
   4.860     152.500      45.251
   4.870     152.778      45.104
   4.880     153.055      44.956
   4.890     153.331      44.807
   4.900     153.608      44.657
   4.910     153.885      44.507
   4.920     154.161      44.355
   4.930     154.437      44.203
   4.940     154.714      44.049
   4.950     154.990      43.895
   4.960     155.266      43.740
   4.970     155.541      43.584
   4.980     155.817      43.427
   4.990     156.092      43.269
   5.000     156.368      43.110
   5.010     156.643      42.951
   5.020     156.918      42.790
   5.030     157.193      42.629
   5.040     157.468      42.466
   5.050     157.742      42.303
   5.060     158.017      42.139
   5.070     158.291      41.974
   5.080     158.565      41.808
   5.090     158.839      41.641
   5.100     159.113      41.473
   5.110     159.387      41.305
   5.120     159.661      41.135
   5.130     159.934      40.965
   5.140     160.208      40.793
   5.150     160.481      40.621
   5.160     160.754      40.448
   5.170     161.027      40.274
   5.180     161.300      40.099
   5.190     161.573      39.923
   5.200     161.845      39.747
   5.210     162.118      39.569
   5.220     162.390      39.390
   5.230     162.662      39.211
   5.240     162.934      39.031
   5.250     163.206      38.850
   5.260     163.478      38.668
   5.270     163.750      38.485
   5.280     164.021      38.301
   5.290     164.293      38.116
   5.300     164.564      37.931
   5.310     164.835      37.744
   5.320     165.106      37.557
   5.330     165.377      37.368
   5.340     165.647      37.179
   5.350     165.918      36.989
   5.360     166.188      36.798
   5.370     166.459      36.606
   5.380     166.729      36.414
   5.390     166.999      36.220
   5.400     167.269      36.026
   5.410     167.538      35.830
   5.420     167.808      35.634
   5.430     168.078      35.437
   5.440     168.347      35.239
   5.450     168.616      35.040
   5.460     168.885      34.840
   5.470     169.154      34.640
   5.480     169.423      34.438
   5.490     169.692      34.236
   5.500     169.960      34.032
   5.510     170.228      33.828
   5.520     170.497      33.623
   5.530     170.765      33.417
   5.540     171.033      33.210
   5.550     171.301      33.003
   5.560     171.568      32.794
   5.570     171.836      32.585
   5.580     172.103      32.374
   5.590     172.371      32.163
   5.600     172.638      31.951
   5.610     172.905      31.738
   5.620     173.172      31.524
   5.630     173.439      31.310
   5.640     173.705      31.094
   5.650     173.972      30.878
   5.660     174.238      30.660
   5.670     174.505      30.442
   5.680     174.771      30.223
   5.690     175.037      30.003
   5.700     175.303      29.782
   5.710     175.568      29.561
   5.720     175.834      29.338
   5.730     176.099      29.115
   5.740     176.365      28.891
   5.750     176.630      28.665
   5.760     176.895      28.439
   5.770     177.160      28.213
   5.780     177.425      27.985
   5.790     177.689      27.756
   5.800     177.954      27.527
   5.810     178.218      27.296
   5.820     178.483      27.065
   5.830     178.747      26.833
   5.840     179.011      26.600
   5.850     179.275      26.366
   5.860     179.538      26.132
   5.870     179.802      25.896
   5.880     180.065      25.660
   5.890     180.329      25.422
   5.900     180.592      25.184
   5.910     180.855      24.945
   5.920     181.118      24.705
   5.930     181.381      24.465
   5.940     181.643      24.223
   5.950     181.906      23.981
   5.960     182.168      23.737
   5.970     182.431      23.493
   5.980     182.693      23.248
   5.990     182.955      23.002
   6.000     183.217      22.756
   6.010     183.479      22.508
   6.020     183.740      22.260
   6.030     184.002      22.010
   6.040     184.263      21.760
   6.050     184.524      21.509
   6.060     184.785      21.257
   6.070     185.046      21.005
   6.080     185.307      20.751
   6.090     185.568      20.497
   6.100     185.829      20.241
   6.110     186.089      19.985
   6.120     186.349      19.728
   6.130     186.610      19.470
   6.140     186.870      19.212
   6.150     187.130      18.952
   6.160     187.389      18.692
   6.170     187.649      18.431
   6.180     187.909      18.168
   6.190     188.168      17.905
   6.200     188.427      17.642
   6.210     188.687      17.377
   6.220     188.946      17.112
   6.230     189.205      16.845
   6.240     189.463      16.578
   6.250     189.722      16.310
   6.260     189.980      16.041
   6.270     190.239      15.771
   6.280     190.497      15.501
   6.290     190.755      15.229
   6.300     191.013      14.957
   6.310     191.271      14.684
   6.320     191.529      14.410
   6.330     191.786      14.135
   6.340     192.044      13.860
   6.350     192.301      13.583
   6.360     192.559      13.306
   6.370     192.816      13.028
   6.380     193.073      12.749
   6.390     193.329      12.469
   6.400     193.586      12.188
   6.410     193.843      11.906
   6.420     194.099      11.624
   6.430     194.355      11.341
   6.440     194.612      11.057
   6.450     194.868      10.772
   6.460     195.124      10.486
   6.470     195.380      10.200
   6.480     195.635       9.912
   6.490     195.891       9.624
   6.500     196.146       9.335
   6.510     196.402       9.045
   6.520     196.657       8.754
   6.530     196.912       8.463
   6.540     197.167       8.170
   6.550     197.421       7.877
   6.560     197.676       7.583
   6.570     197.931       7.288
   6.580     198.185       6.992
   6.590     198.439       6.696
   6.600     198.693       6.398
   6.610     198.948       6.100
   6.620     199.201       5.801
   6.630     199.455       5.501
   6.640     199.709       5.200
   6.650     199.962       4.898
   6.660     200.216       4.596
   6.670     200.469       4.293
   6.680     200.722       3.989
   6.690     200.975       3.684
   6.700     201.228       3.378
   6.710     201.481       3.072
   6.720     201.733       2.764
   6.730     201.986       2.456
   6.740     202.238       2.147
   6.750     202.491       1.837
   6.760     202.743       1.526
   6.770     202.995       1.215
   6.780     203.247       0.902
